,length,OXF1071_S29,OXF1147_S30,OXF1623_S50,OXF2544_S53,OXF936_S52,OXF939_S51,RC01_S1,RC04_S2,RC05_S26,RC09_S4,RC15_S5,RC16_S6,RC20_S7,RC23_S8,RC24_S9,RC27_S31,RC28_S32,RC30_S33,RC31_S10,RC32_S11,RC33_S12,RC34_S13,RC35_S14,RC37_S34,RC38_S15,RC45_S35,RC46_S36,RC47_S37,RC48_S38,RC50_S16,RC51_S39,RC52_S17,RC54_S40,RC55_S41,RC57_S42,RC60_S18,RC65_S43,RC66_S44,RC68_S19,RC70_S20,RC71_S21,RC73_S45,RC75_S46,RC79_S47,RC81_S22,RC82_S23,RC85_S48,RC87_S24,RC88_S25,RC89_S3,RC90_S27,RC91_S28,RC92_S49,sum,
I_lacunosa-Solyc03g111600.2.1_1,4133,1500,784239,199517,2125,96,0,3638,199092,2579,552,1192,1034,3547,1667,101963,1410,274,894,0,1012,0,0,741,0,0,0,785,754,2662,774,605,603,464,156,702,260126,625971,366281,9426,25808,552,3936,3906,219,46633,2827,0,375194,266,0,1505,1148,0,3042508,
I_lacunosa-Solyc03g059160.1.1_1,1568,515988,282,508,0,0,0,478184,158938,1219,2947,302,996,233,2870,0,0,928,604,0,0,0,0,406,0,0,0,285,0,1430,604,1578,586,136,3774,346,1424,14290,1716,1352,432999,1118,2963,245982,0,879,2638,0,3879,0,0,0,0,0,1883952,
I_lacunosa-Solyc03g059150.2.1_1,2113,73808,906,303,0,110,594,154326,2166,306,1799,0,1836,94189,906,1232,149,420,248,0,598,0,0,1699,0,0,0,301,1088,21629,314,9374,505,302,452,586,892,115064,8616,4553,3235,2743,0,90017,0,2108,307105,0,483,300,0,688,754,0,908817,
I_lacunosa-Solyc01g066940.2.1_1,2407,0,2393,977,811,214,0,14778,0,505,112666,472947,838,0,1021,610,0,0,0,0,861,0,0,120,110,500,352,192,0,508,0,224,224,298,0,416,1007,5799,4689,3123,1029,5161,267,84267,0,935,4344,0,709967,184,0,0,0,0,1434744,
I_lacunosa-Solyc08g023500.2.1_1,3459,2741,1485,3315,3059,522,0,36173,2781,113,1497,4861,3145,2698,1722358,1671,0,0,0,0,771,264,0,1570,1130,0,0,608,0,19582,299,0,57566,0,492,1212,2556,5766,5018,1260,58809,6186,555610,229013,0,7776,5593,154,4304,600,0,323,2602,0,2758942,
I_lacunosa-Solyc01g049650.2.1_1,1456,1851,170807,7415,2514,676,0,40628,1782,602,4241,400,1094,2060,1155,1106,0,652,486,0,1401,2035,0,0,0,0,0,806,118,1867,0,1245,302,516,0,1354,12990,1090314,900193,3307,394795,3299,997,561487,0,7367,3456,482,302,1140,0,27952,1205,0,3257855,
I_lacunosa-Solyc03g058860.2.1_1,2321,1000,327747,701,7128,0,0,2838,506006,791,3397,53344,1954,195,2934,1101,534,136,300,0,1321,2094,0,128,0,266,320,630,0,788,299,0,2246,882,130,6239,237,1101787,261191,621,542640,1207,3409,1648,0,294,867616,182,4353,152,0,1190,572,0,3714869,
I_lacunosa-Solyc03g058880.2.1_1,4116,2002,3420,61144,2520,424,0,58582,1149,462415,5366,2253,2984,3756,9520,1349,0,616,555955,0,1435,1786,0,226,0,258,660881,146,0,3775,432,0,1929,0,348,402,388715,735933,61760,6263,139061,80386,2145,532694,0,6090,628880,283429,4842,0,278,4128,968,0,4724761,
I_lacunosa-Solyc04g049490.2.1_1,9437,1914,5062,139582,6518,438,1848,52822,111319,5606,19063,729,518979,4228,82154,1617,564,436,8567,0,28833,2412,0,574,98,41937,1109,4597,468,165971,41126,302,12322,978,2996,7442,3015,400560,101549,52379,605346,156044,3462,173469,0,26515,6140,747,12777,2714,0,48984,0,0,2875749,
I_lacunosa-Solyc02g091490.2.1_1,2052,232,365876,550,1989,132,0,4333,1262,61381,1658,302,2884,304,3456,303,180,0,272,0,624,302,0,388,0,16070,316,0,79456,0,0,0,429,222,420,17280,5266,6158,205079,597716,8085,3517,320042,382758,0,91800,7726,456,749,57498,0,322,302,0,2250147,
I_lacunosa-Solyc11g069380.1.1_1,4719,123837,391156,3368,18679,0,1559,34114,859892,5123,9174,16619,19356,7113,25489,3670,352,1722,3107,0,150011,31138,0,2666,0,114146,289,1708,362,3868,2541,952,5077,2251,604,5479,54400,1290348,1230594,13744,225442,236074,112977,844806,0,216817,87211,566,7295,70282,0,3307,2977,0,6246981,
I_lacunosa-Solyc12g021340.1.1_1,3642,445,6777,2048,1742,0,0,302,559,303,29435,189244,1751,1176,1786,7205,0,0,604,0,301,9102,0,299,0,918,0,467,0,1892,0,0,132,0,300,6324,1704,61590,1980,1112,2525,1969,1505,138575,0,3320,388683,250,277,928,0,0,596,0,871768,
I_lacunosa-Solyc02g078440.2.1_1,5504,3619,8003,3882,4847,0,1028,4566,389868,3868,251108,4240,115277,4065,80560,11585,432,294,1248,0,4723,2277,0,2088,0,540,150937,1553,628,4733,4758,3383,2984,1467,160,116609,49181,1478781,212574,68269,379464,40136,3619,1782790,114,256695,48640,134,481514,93177,0,5556,5190,0,6096668,
I_lacunosa-Solyc07g048080.2.1_1,2247,246,6119,86488,58888,990,604,24021,1549,3078,2702,1193,3730,5244,5517,7595,0,0,412,0,4743,0,0,564,0,77361,844,0,562,1643,448,0,458,532,412,42252,134440,620708,8959,4530,15488,10735,746,1094078,0,157993,4194,868,3425,1709,0,1951,2084,0,2402350,
I_lacunosa-Solyc05g056350.2.1_1,6531,0,108951,7321,1764,430,282,18447,4390,15288,4466,2849,3188,12086,5588,1544,1618,357,1158,0,861,17818,0,0,212,4836,236,75647,92,9526,3660,460,3646,407,2877,1422,9286,537588,164761,3023,90845,40406,26825,1403221,0,16632,821480,376,690,3176,0,276,950,0,3437493,
I_lacunosa-Solyc09g007670.2.1_1,3743,88445,27322,137148,156252,115683,11188,183337,33780,590918,688517,1103309,50835,12360,103259,5239,2806,1072,1606,61,4603,1856,0,72382,212,91968,608053,154079,81884,7740,4348,6299,172761,14988,3153,9078,5965,2093714,21429,8185,242157,542505,5306,5229095,151,44239,336149,31311,5814,87520,5620,3615,4776,0,13217835,
I_lacunosa-Solyc05g055040.2.1_1,1587,1728,1329,4704,1072,190,784,6621,14987,3639,6686,1402,4179,3184,6975,31900,24238,119760,1508,0,246458,528,0,350074,0,570,0,7987,870,360787,0,876,2348,0,500,722,11670,8391,5379,1519,7430,4478,480,220294,0,7204,122436,90,632021,1213,0,934,1446,0,2233178,
I_lacunosa-Solyc11g007090.1.1_1,3131,1563,6619,6051,2113,20645,598,62829,2354,5357,139371,694,4327,3826,118744,2055,1387,142,1200,0,1518,2334,0,7484,6824,2706,1340,1146,1467,3627,84134,420,2362,1596,0,996,2732,29412,691742,4618,438797,5108,146277,527563,0,148941,48574,27496,2540,17474,0,302,153911,0,2746447,
I_lacunosa-Solyc05g055000.2.1_1,2847,1405,4926,4443,2239,0,836,2365,1814,78649,335358,25729,1481,2309,18088,1655,5308,374,2266,0,2539,582,0,314,0,1073,464,506,190,1502,188,291,1501,302,112,26654,2265,669340,16517,3052,459504,2179,1198,1084579,0,359647,2475,0,590,1064,0,9666,866,0,3141252,
I_lacunosa-Solyc07g017540.2.1_1,1851,28378,478645,373218,0,140,711,136311,3572,9435,7316,655,26478,4655,2953,4710,302,658,88928,0,1449,816,0,112,0,190,528,600,287,2379,588,680,114316,0,2856,1638,730787,1317600,13148,2964,23289,7615,735,10514,0,4332,2869,0,1942,1056,166,700,1944,0,3415016,
I_lacunosa-Solyc03g112050.2.1_1,2319,843,33666,2922,906,0,0,2230,1553,288211,4031,306371,4594,2631,2565,1040,822,1030,0,0,878,3659,0,0,0,224,0,0,0,5217,604,0,1170,912,0,20054,1110,1224275,5534,1785,30638,2080,1278,153557,0,10536,3500,1004,817,1513,0,896,879,0,2127854,
I_lacunosa-Solyc01g081420.1.1_1,3072,926519,3154,98519,5497,424,0,8440,2680,1884,8320,109531,906,4330,5674,2207,348,340,1830,0,2310,2958,0,2263,0,160982,2191,293,1016,140334,2497,610,181747,868,586,998,256013,1108373,731913,4828,403371,5856,232594,379059,0,13715,4860,402,4411,213830,0,2343,608,0,5045504,
I_lacunosa-Solyc04g009740.2.1_1,5798,2446,109277,302545,5978,1172,1158,109781,297391,4653,8113,3698,192747,11224,5435,4659,1637,108,338063,0,14778,4490,0,3221,204,66363,1555,12597,4180,165352,59937,522,15244,74973,996,40815,120659,713752,22400,573080,54637,236438,328877,2489488,0,118093,5849,145,994,1247,154,19172,4100,0,6560195,
I_lacunosa-Solyc03g119490.2.1_1,1957,852,25712,3013,15494,20114,0,11229,1523,4665,2112,3451,25364,285047,6773,1052,220,5278,2456,0,5961,57595,82,2616,0,1710,0,226623,1812,2636,0,1274,1931,1132,806,9286,1207,1229998,5826,3997,8547,2700,901,521213,0,5864,6415,810,4210,63954,0,2664,1499,0,2589581,
I_lacunosa-Solyc11g072820.1.1_1,4491,33456,102658,61053,2283,624,125655,121035,4270,2421,8096,252353,2212,123380,253362,35652,1522,410,176,0,1206,245,0,1754,0,111881,0,38348,2224,2616,870,1208,258984,553199,200,318,43760,1062150,59432,15182,31028,144626,10755,892401,0,13032,3268,5494,237082,1524,0,1401,2743,0,4632040,
I_lacunosa-Solyc07g022770.1.1_1,5260,2163,2169,2268,1127,360,0,3818,71260,2305,3310,58111,137839,1952,4075,543,0,0,876,0,372605,595,0,13208,176,0,0,210,0,608,594,7020,2462,706,168,0,2385,8254,386779,901,7097,10633,1678,18496,0,2674,8638,132,8441,392,0,1029,480,0,1153797,
I_lacunosa-Solyc07g022790.2.1_1,7080,1144,3560,2090,55201,16909,1058,50831,136362,4129,4080,3640,4740,14256,27101,143713,148,174,729,0,3187,1766,0,761,0,1685,307,2696,984,264864,1038,0,3367,579,861,409,252458,631180,146558,5145,246055,18539,6471,744965,0,399967,1467,192,1108,50142,0,1104,610573,0,3875373,
I_lacunosa-Solyc06g076260.2.1_1,1572,222,787,78769,164,0,180,68164,1547,9992,2146,189,1461,1493,3071,894,0,144,276,0,138,1178,0,1242,0,0,234,8457,1082,71358,0,0,494,540,0,77948,1271,515770,347346,411,11034,1310,1072,116587,0,51336,1179,172,2325,247,0,874,1365,0,1386041,
I_lacunosa-Solyc09g010870.2.1_1,5215,1490,1382,2085,2075,844,144,11987,139809,1103284,2847,195724,2922,2415,302,4263,94,2080,4686,0,5086,588,0,0,0,1434,176,583,0,12592,1545,354,3762,178,0,590,598,166839,10107,1474,4362,10519,3967,80176,0,88655,4490,466,378297,3024,0,1884,0,0,2265394,
I_lacunosa-Solyc01g091580.2.1_1,2300,0,148,246,285,0,0,1202,1700,0,1010,0,0,1205,567,256463,204,171,0,0,859,301,0,874,0,906,0,0,0,753,400,0,0,0,0,0,588,166059,2468,605,302,2385,1258,74145,0,808,229,0,0,302,0,906,598,0,520247,
I_lacunosa-Solyc03g118430.2.1_1,8544,58479,905677,33718,6613,153602,2568,67113,337861,1013847,63593,46255,50944,7931,336929,284582,75408,238603,400,0,15623,448534,0,3364,322,70607,1066153,18372,6253,85470,81686,246780,151906,2166,121101,2612,229613,2049957,1292646,105714,1559941,491394,768825,3089505,126,127994,85112,160,365957,33845,450,29096,14799,0,16258750,
I_lacunosa-Solyc06g008940.2.1_1,2871,988,2960,850,1783,160,1410,7833,3223,1991,1738,608,482,1095,4859,7915,156,0,16800,0,439,0,0,532,0,226,176,490,505,2122,1698,0,2159,602,0,366,787,7393,1331800,2547,235526,2347,856,461745,0,3007,2736,156729,612,982,0,2679,2868,0,2279651,
I_lacunosa-Solyc08g077310.2.1_1,5651,504989,77229,120971,4930,842,0,177926,436987,6123,181425,15931,12134,13503,102239,6549,3041,516,2458,0,9475,1814,0,1955,218,6378,0,2700,1665,23578,561923,603,293871,1112,1298,3831,526414,2222806,389641,8412,1262812,130024,2274,1972101,0,827155,82216,1932,101628,30618,0,57622,14862,0,10214382,
I_lacunosa-Solyc05g047710.2.1_1,3479,164,4327,4456,1846,547,684,4991,2521,862372,4275,48571,2059,143799,3910,4713,0,623,90,0,593,23203,0,772451,0,182240,843,13364,100,3554,250,257,3779,721,216,386,13816,1020655,4678,4429,7576,126653,3217,63414,0,2483,2423,0,270445,300,0,19908,0,297,3635678,
I_lacunosa-Solyc09g090140.2.1_1,1366,5642,7464,4088,3001,2026,9096,108448,3745,1473,554298,1539,2362,6655,11039,2693,354,1298,2548,0,2400,1136,0,74100,0,288,484,1813,648,10904,1208,258,632360,188,518,914,11993,1634059,6814,37469,266305,11637,3003,249955,0,419163,148552,360,5975,51460,0,3376,4850,0,4311325,
I_lacunosa-Solyc11g011960.1.1_1,4662,602,177540,0,2470,61695,620,1286,46475,1805,0,39618,1706,1918,3322,407,534,0,104,0,0,0,0,0,0,154,0,0,43,1639,246,604,13271,288,0,370,624,13607,6150,1033,19357,1829,307942,11794,52,2515,351,0,1094,0,0,226,1484,0,729437,
I_lacunosa-Solyc12g014050.1.1_1,3191,552,3271,1966,6428,0,0,146432,1444,7910,7648,203936,899,3708,10085,1172,210,342,1812,0,1351,366,0,886,0,854,787,1097,75,143750,0,176783,1502,3406,0,308,119780,99648,35100,2249,131055,2119,419,759145,0,5460,13956,818,7172,2156,242,913,2183,0,1914586,
I_lacunosa-Solyc08g069030.2.1_1,7666,1836,4150,8634,354,1818,732,120524,254478,250788,103233,8885,6154,3522,9041,105078,1164,0,930,0,163351,1077,0,855,0,87477,844,230169,168968,1433,744,0,1173,1793,1266,6992,2539,492814,125830,477563,561675,507516,430361,1037236,0,4302,163987,500,2232,241199,0,1384,3068,0,5607335,
I_lacunosa-Solyc03g097780.2.1_1,4497,899,5230,905,598,0,262,2397,127217,302,2549,750,1744,1798,5960,1202,0,0,0,0,763,1159,0,0,0,0,172,475,0,59996,1056,596,1911,142,3590,190,901,407544,8693,89155,258318,49145,2523,78082,0,10223,1920,0,2017,558,0,0,1407,0,1136846,
I_lacunosa-Solyc12g015710.1.1_1,4205,1137,3520,866,6734,594,94,2632,80585,1182,5729,5739,304690,5011,3061,1790,0,16829,0,0,853,2336,0,766,0,912,3054,978,0,4975,279,264,2486,0,256,572,2911,73656,39846,1046,136599,3498,47366,8973,0,89687,103105,0,367993,0,0,0,3605,0,1340414,
I_lacunosa-Solyc08g013860.2.1_1,7300,8548,5190,78371,3985,2412,1095,544730,55699,706218,514678,3453,8007,7176,14103,273620,564,998,214,0,1233411,212140,0,2822,602,6963,916,137495,1652,4841,2028,2015,2204,796,1555,5570,5880,569466,51639,9343,344617,592787,4334,294171,0,506627,8406,172,121475,4104,132,2744,7152,0,6374420,
I_lacunosa-Solyc06g075390.2.1_1,3146,861,1800,5230,1216,152,292,3550,1617,99891,253803,906,1359,1809,5274,1575,324,0,1310,0,302,86,0,0,0,236,406,3624,0,1119,1006,544,1054,0,450,182,5419,14578,3141,1826,393554,1173,1624,1599,0,14733,7065,210,46688,0,0,0,137552,0,1022286,
I_lacunosa-Solyc01g103080.2.1_1,5135,30580,2032,2956,2877,66195,0,13538,196628,1840,4916,3468,5368,112052,10923,3494,2805,102891,17509,0,2092,1396,0,1046,0,1632,0,2193,881,47043,1736,284,1398,640,124,834,17472,403000,46551,6308,8017,9532,3593,721695,0,636097,104245,87260,4393,0,0,3095,1830,0,2699594,
I_lacunosa-Solyc10g007390.2.1_1,2058,0,11699,3842,1450,0,594,897,1629,2503,66466,34709,1796,2282,5135,0,0,0,0,0,600,300,0,0,0,0,0,128,0,1398,906,0,899,0,0,458,475643,59103,3511,2410,6197,302,1318,210821,0,2438,190759,0,906,0,0,2114,2351,0,1097622,
I_lacunosa-Solyc02g082180.2.1_1,4996,412,1122387,77805,5686,17724,548,1275268,10312,501873,6567,1003683,122685,6190,23697,20011,946,117649,1524,0,3224,1383,0,1375,0,37352,3594,4306,917,8308,2037,83712,298148,730,1054,2040,660453,723485,24486,15006,1167498,310195,596713,1726627,204,55467,6843,490,10602,45154,0,1011,17701,0,10130078,
I_lacunosa-Solyc08g077830.1.1_1,2904,1400,7772,545209,7084,26523,34658,1695,1490,57110,19703,1610,1954,2960,676702,1368,2329,16132,624,0,2638,1665,0,162,592,69091,6719,2432,410,1256,1354,0,3360,451,196,1016,4568,166823,56222,2370,261501,469414,4948,605892,0,4479,31195,1163,3938,21087,264,3045,1173,0,3138651,
I_lacunosa-Solyc01g088150.2.1_1,2771,4646,15439,464685,1025961,1936,5016,1011221,410059,224439,320642,665572,57181,12483,564713,384863,8478,960,77022,0,12681,406070,176323,28965,0,1705545,5018,641949,299,249819,12601,302,6220,1674,885,33663,11360,1546465,58139,21251,355805,15683,182175,4059280,0,168789,391726,1800,6824,2317,0,6006,5907,0,15373628,
I_lacunosa-Solyc09g005310.2.1_1,4840,604,3977,3838,189220,176,0,265991,2994,2107,14546,8182,2659,1075,127056,87272,152,56487,604,0,6289,10064,0,4593,90,1466,1709,1055,174,2432,896,248,2737,244,0,34132,2667,108854,300406,4582,52279,2147,8716,948665,0,417446,4367,532,2546,596,0,902,715,0,2693329,
I_lacunosa-Solyc04g081930.2.1_1,1527,0,1179,682,0,0,533,114,302,0,600,0,614,0,1208,1462,188,0,0,0,0,0,0,0,0,0,0,599,0,0,1704,0,309,212,0,0,1318,0,228448,903,152282,545,604,160,0,1192,302,0,696,0,0,186,0,0,397869,
I_lacunosa-Solyc04g054310.2.1_1,2668,188,15335,238046,303767,354,438,228277,743000,415415,9306,2090,3475,5157,9746,2994,0,0,718,0,2559,849,0,846,0,4665,1040,902,0,4681,2246,0,4087,5312,813,2334,146381,120932,1112182,2860,269093,86449,1332,1084015,128,19013,730071,652,193742,3869,0,598,1772,0,5784397,
I_lacunosa-Solyc03g019940.2.1_1,6011,931,9668,10152,1166821,1343,0,2745,26263,61108,704988,704,4491,5043,4564,3615,546,229,384,0,3779,1590,0,354,0,8607,0,306128,1778,3814,986,182,2054,302,3242,2096,3203,55950,274552,4333,7761,2237,2620,205229,57,6937,31476,102,48695,1087,94,2879,1388,0,2993118,
I_lacunosa-Solyc02g094200.2.1_1,1358,2101,1521,648781,1378,216,256,13401,1486,302,49302,12962,1554,2347,2290,1932,262,0,2800,0,1448,4456,0,0,0,262,0,225,264,1139,0,0,1536,738,436,300,1304,68453,8683,1859,7875,147337,623,390627,0,10039,3616,460,1630,219252,0,1942,1533,0,1620286,
I_lacunosa-Solyc04g076090.2.1_1,2862,254,4376,160654,568,0,0,3120,60435,598,3931,33874,2914,1920,4073,36840,0,18304,228,0,1499,96243,0,301,0,2672,479,250,1224,1138,1046,1405,2187,428,606,1730,133139,608351,19831,6006,449350,3560,1741,771491,0,8321,2974,0,23000,0,0,8260,1178,0,2483361,
I_lacunosa-Solyc09g015930.2.1_1,5353,4522,8302,1218662,16778,374508,462,342819,219765,9569,130206,153112,8165,7596,307865,387387,2779,10174,186487,0,22763,6213,0,3448,0,9276,311770,140398,4782,8125,4266,3409,3066,2778,1718,1178,8315,3240801,857651,15921,542281,496733,326464,962963,272,130835,80898,424,5167,26635,0,78783,12109,0,10703953,
I_lacunosa-Solyc01g105240.2.1_1,8607,746,65781,949,23277,15062,890,285520,182096,4933,426923,2211,273292,5552,343260,52039,0,222,370,0,4601,1676,0,1088,0,1175,731971,1165,214,1727,2021,498,4113,480,3842,440,11160,179482,79670,12743,488890,226118,4019,333587,0,60776,7567,0,327322,1456,0,1096,2027,0,4182654,
I_lacunosa-Solyc01g090420.2.1_1,6324,1567,15159,203839,4183,49356,252,11398,171087,12070,170573,5980,63046,3288,303975,29201,602,28997,1027,0,1762,67909,0,108385,162,2456,0,24185,894,91277,1485,494,9821,930,95,1089,4435,698579,370598,208936,362642,6292,448519,1093321,0,87619,10655,121835,88584,190967,346,1685,2284,0,5090165,
I_lacunosa-Solyc01g090690.2.1_1,5823,3654,8445,270705,3961,310483,302,20863,113810,2685,963607,4779,161363,9324,246058,395402,4034,862,178,0,386738,2254,0,31381,2032,373698,4832,4166,319,14859,24897,119215,5377,1602,12085,3846,13650,2824925,19484,138444,534423,5572,49226,1230701,0,42766,26763,133638,20528,1750,194,10894,2571,0,8569168,
I_lacunosa-Solyc06g071210.2.1_1,3175,232562,5941,199875,7420,159,344,2493,71545,1510,2042,705236,2509,959,17973,1700,286,116,840,0,361867,769,0,8676,74,258829,0,756,0,2339,134,262,3445,884,944,334,94800,1106822,18694,5450,28212,149149,8923,349770,0,7854,9167,292,3161,258,0,1520,5399,0,3685469,
I_lacunosa-Solyc04g074710.2.1_1,4445,617,3843,4312,3034,94823,0,1899,12899,1528,185101,1000817,8541,5567,399491,527216,324,3010,384,0,436235,1187,0,504,0,6736,10028,61229,0,176839,903,0,1747,0,318,936,1862,54480,10105,6420,738594,859,0,17718,0,42100,645692,584,1814,450,0,207,1261,0,4476659,
I_lacunosa-Solyc12g021280.1.1_1,5056,164839,11330,109867,197072,14130,120,19711,93872,137316,9012,126590,4392,6034,16872,29572,1702,214,19924,0,4726,4765,0,952,43,2136,170,6852,23304,2685,2170,1492,9550,842,134869,65376,201139,494824,96664,19673,61297,4798,37300,1730385,0,231979,8205,326,54294,326986,184,11485,25168,0,4532264,
I_lacunosa-Solyc07g006520.2.1_1,2393,0,3651,2121,2860,570,0,47911,680,1345,1832,15284,1689,4313,3734,3458,1034,726,340,0,2061,824,0,608,124321,0,142,583,520,221596,3156,4063,2624,1186,476,0,110318,34800,33906,34436,121820,33214,17679,1378626,0,34558,24834,172,13554,900,0,5936,1356,0,2302210,
I_lacunosa-Solyc05g051590.2.1_1,2050,256,5358,3250,552,148,0,4448,220573,1677,22943,999,2401,5591,218800,3935,612,240,222,0,1954,2346,0,288,0,279,460,634,266,1539,2842,0,1332,0,920,10431,5012,8724,1063784,1978,32140,3094,279967,52392,0,49794,2689,0,4295,152,0,1512,1184,0,2024063,
I_lacunosa-Solyc01g009520.2.1_1,7517,2245,685990,167807,18022,0,5598,19705,369170,10202,159611,7132,7561,7109,18122,3535,386741,82248,412,0,24000,3281,0,922,0,19720,394,34125,1209,5426,1846,862,2334,145714,292,1010,3166,556258,15075,94895,1119929,180537,20976,514278,0,23298,66393,244,3620,7477,364,12358,1735,0,4820465,
I_lacunosa-Solyc05g050390.2.1_1,3687,0,17137,1664,944,256,0,46013,1510,1876,996,2187,867,1199,3897,5224,0,0,0,0,1504,1018,0,1865,754,264,1496,1186,0,54605,1098,1208,299,608,0,150,286167,6405,7018,2519,60969,1199,11474,12508,160,4654,2776,0,144176,500,0,437220,1933,0,1133190,
I_lacunosa-Solyc11g022540.1.1_1,3716,1542,9334,1716,528,29484,560,882,94197,1242,497863,1678,1761,1490,5877,313576,1962,408,356,0,2826,22829,0,0,0,52936,0,907,1645,4590,702,162,2100,2748,454,952,32926,113703,140683,1811,4457,63002,1489,1834,0,78214,8015,26488,1771,648,0,2578,4771,0,1543413,
I_lacunosa-Solyc11g040120.1.1_1,3961,980075,596714,4437,2427,527259,1068,127801,96696,31004,44882,543751,2854,2418,36849,22164,38223,142196,32632,0,33573,653375,0,62161,0,20001,832,928,660,4566,3428,2856,394733,1322,1358,934,34973,1451629,12803,6091,494383,359124,28518,565861,0,17102,13970,0,38661,68095,0,826,2403,0,7512577,
I_lacunosa-Solyc08g081490.2.1_1,2450,1352,175781,35698,43062,0,0,46768,2746,0,404493,0,2371,1501,7136,3040,186,306,0,0,3168,838,0,302,0,1120,746,938,0,107057,0,0,1191,204,98,318,1949,576095,5643,3776,65709,1486,179526,8326,0,881,1920,124,50472,754,0,1197,2102,0,1742830,
I_lacunosa-Solyc07g065310.2.1_1,8998,1660,16268,4639,4173,303,758,9796,151771,1602,106572,920435,20100,26707,35362,30314,815367,0,720,0,227751,3508,531,2918,0,98320,299,2829,472,859324,911,2368,7085,510,164,1620,1874077,541452,1053454,6318,906148,16903,449956,874248,0,39441,26712,5112,9609,1908,62502,4091,2101,0,9238187,
I_lacunosa-Solyc01g008330.2.1_1,6237,542,4687,2853,3606,1180,0,6489,7225,653,760039,3431,10317,5852,53034,604,0,0,1582,0,1797,3022,252,1498,0,1207,246,10904,0,5494,1075,988,132343,1330,784,58,2278,13103,15119,4088,1151273,117866,5346,237128,0,4532,9876,138,3112,1728,0,941,302,0,2596159,
I_lacunosa-Solyc06g064830.2.1_1,7036,0,4703,5436,4172,278,0,72258,91218,1194372,508876,29873,5536,6454,15350,2696,924,460909,8836,0,6554,2002,0,1302,0,68244,524,489,1360,7639,2354,415,4199,135822,68971,828,188236,1177771,44944,2044,15820,3396,1068,1245424,0,12588,5788,0,3398,1772,366,748,1725,0,5424718,
I_lacunosa-Solyc03g114340.2.1_1,4275,563,6902,3861,22944,420,0,752195,63276,46883,41343,2509,324659,1680,153713,2457,1692,14452,412,0,1691,1063,0,664,0,890,600,1471,1320,1022298,1169,326,4223,8399,32785,5820,3444,1364749,27106,3401,9260,199690,1678,1046140,132,115601,41456,870,269282,340,0,60874,2063,0,5673041,
I_lacunosa-Solyc12g044860.1.1_1,2769,2086,10134,535690,287041,261771,414,11282,24341,3223,54949,2170,5716,6595,19006,11346,988,416,1213,0,2073,26437,0,1862,178,2168,176,743476,722,520343,1787,267,3566,864,0,636,11766,91749,27028,5204,357355,36723,9780,1072873,0,126673,8112,502,258581,1076,0,3053,5324,0,4561504,
I_lacunosa-Solyc06g048920.2.1_1,2097,0,28517,4052,0,0,0,3817,7619,831403,84463,447976,3277,15329,1694,127056,200,0,276,0,1370,0,0,829,0,56303,796,464,8610,767,99,138935,1063,0,0,119514,1172,8014,3836,15813,1055172,1676426,899,560443,0,1932,4325,0,1296,4698,0,8766,302,0,5229620,
I_lacunosa-Solyc05g052200.2.1_1,7873,1794,4217,7589,69919,652,104,16457,263264,85214,6426,7974,4151,3200,942150,4321,1226,410,436,0,6494,2341,0,1650,0,18148,564,1392,486,4700,0,1829,261422,692,714,374,7395,825983,161364,4366,711185,368258,90632,1051633,0,392946,83256,608124,224812,90707,96,2308,2085,0,6353333,
I_lacunosa-Solyc06g073200.2.1_1,2566,138,0,692,527,0,1012,647704,2471,460,0,606,0,0,790,192,0,6253,0,0,303,0,0,0,0,190,842,104,110,298,0,0,1158,394,262,0,108664,3738,1744,266,433555,1516,121285,418503,0,4207,4754,302,2807,1360,0,423,5494,0,1775690,
I_lacunosa-Solyc10g047050.1.1_1,4370,0,99925,1696,73384,192,0,2979,1504,2165,1711,119069,2035,6272,20356,518,0,1268,1075,0,4117,810,0,895,0,5852,230,600,10408,1405,178,0,557,302,310,344,7872,286733,7198,4709,464933,3891,711,233160,0,7283,3863,712,1593,1183,106,302,402,0,1389178,
I_lacunosa-Solyc07g063510.2.1_1,3306,1386,6131,929677,54647,32111,302,184822,2341,104477,63574,11838,180001,7266,345571,4621,596,11017,5680,0,1735,817651,0,1991,126,9145,2918,1032,585,3995,747,4509,4131,9666,32181,689,3866,28106,631137,10221,18170,184320,3574,772919,0,12698,39633,12045,2842,618,0,1536,906,0,4563056,
I_lacunosa-Solyc05g025920.2.1_1,5822,0,464,176125,2715,210,334,1892,487,760,7901,1180,1986,1267,3122,609,468,0,6650,0,295,94,0,848,0,128,49,0,1117,4742,1162,66,1507,484,29,1251,2208,173311,494942,2344,257618,509546,3347,74597,70,110552,149151,0,5416,822,0,0,43118,98,2050904,
I_lacunosa-Solyc01g094930.2.1_1,3598,1298,257993,3025,466,72372,0,276332,3211,10099,3929,444,14925,4587,6596,1575,896,2576,0,0,1095,239,0,2154,0,336618,0,829,688,1077,1544,617,1929,0,298,0,848,1706456,3574,5069,45190,1195,283842,446215,0,414033,1793,154,429609,240,0,474,2646,0,4352348,
I_lacunosa-Solyc09g064430.2.1_1,3376,0,1213,589,1183,0,0,3592,17330,1626,1620,302,578,1720,2489,764,0,8895,0,0,2052,650677,0,120,0,0,1192,0,772,1986,182,164,595,0,272,182,10349,38487,5348,814,46912,15558,1092,803320,0,4559,2636,0,980,184,0,210,925,0,1634845,
